StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Rank,Gender,MainRole,MainChamp,Veterancy,PlayerStats,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,OpenChanges,BalancePriority _1,BalancePriority _2,BalancePriority _3,BalancePriority _4,BalancePriority _5,BalancePriority _6,BalancePriority _7,OtherChanges
2023-12-07 13:48:20,2023-12-07 13:50:45,100,144,TRUE,2023-12-07 13:50:45,R_3subBtC5g7c4Wxd,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,Shen,3 ,Not Provided,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,I would force every player to uninstall the game forever ,2,1,4,3,5,6,7,No Response
2023-12-07 13:47:48,2023-12-07 13:51:22,100,213,TRUE,2023-12-07 13:51:23,R_1q51xpgFhkylz0o,anonymous,EN,Platinum - Diamond,Prefer not to say,Top,Taric,Season 2,Not Provided,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Nerf tank shredding tools, armor pen and %hp damage in abilities",1,2,4,6,7,5,3,Nerf/Fix bounties to be more consistent and include gold from plates.
2023-12-07 13:48:32,2023-12-07 13:51:53,100,201,TRUE,2023-12-07 13:51:54,R_3kokwpJdjKzn4FZ,anonymous,EN,Platinum - Diamond,Male,Top,Sion,Since season 6,Nuki____,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat agree,"Reduce the amount of dashes, cc and overall overloaded kit they release each month with a new champion",3,2,1,7,4,5,6,Increasing healing reduction just like it was in the past
2023-12-07 13:47:19,2023-12-07 13:51:56,100,276,TRUE,2023-12-07 13:51:57,R_2DN9Qkb3Wn7LuiC,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,asassains,4 ,Lolxt06,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,2,4,1,5,3,6,7,Nerf riven and hwei and not make new champs broken / not that broken
2023-12-07 13:46:53,2023-12-07 13:52:05,100,312,TRUE,2023-12-07 13:52:05,R_RJfCcty4hT40eI1,anonymous,EN,Platinum - Diamond,Male,Bot,"Draven, Ezrael, Ashe, Twitch",8 ,Not Provided,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,I would like fights and lane phases to last longer (meaning a longer laning phase where laners face each other). More neutral objectives like in Hots. A champion rotation like in  MTGArena (imo there's too many champions in the game to balance effectively. I'd rather have a certain set of champions (~50 maybe?) available at a time).,2,6,5,3,1,7,4,No Response
2023-12-07 13:48:49,2023-12-07 13:52:08,100,199,TRUE,2023-12-07 13:52:09,R_3OQ6BTj2W7HfWQF,anonymous,EN,Platinum - Diamond,Male,Bot,Twitch,6 months,Not Provided,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"I would give everyone 2 bans instead of one, there is too many bullshit champions introduced in the recent years.",1,2,3,4,6,5,7,Lower twitch aa windup time :)
2023-12-07 13:48:46,2023-12-07 13:53:15,100,269,TRUE,2023-12-07 13:53:16,R_3OoJcppJsXnydPS,anonymous,EN,Platinum - Diamond,Male,Jungle,"Rengar, Evelynn",10 ,Not Provided,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,"Bring back the potential to carry, reduce bounties, FIXING THE CLIENT",1,2,6,4,5,3,7,"Items, balancing the items better"
2023-12-07 13:49:29,2023-12-07 13:53:44,100,254,TRUE,2023-12-07 13:53:44,R_2349OXAOiKVefo5,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,"Pyke, kled, urgot, poppy, ,ivern, jhin, senna, ",since season 5,https://www.op.gg/summoners/euw/Blomster%20Koro-EUW,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,"I have no clue, not a game designer nor do i know how to balance a game",7,2,1,3,4,5,6,No Response
2023-12-07 13:48:46,2023-12-07 13:55:37,100,410,TRUE,2023-12-07 13:55:38,R_2cA5la4Eu9hceZB,anonymous,EN,Iron - Gold,Male,Bot,"Lucian, Zeri, Vayne, Sivir, Ziggs, Ryze, Orianna, Mordekaiser",14  (since release),https://www.op.gg/summoners/euw/Aeshen-EUW,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,I would change Zilean passive,4,1,2,5,3,7,6,No Response
2023-12-07 13:47:10,2023-12-07 13:56:12,100,542,TRUE,2023-12-07 13:56:13,R_3e9OvOCj2UKCRb5,anonymous,EN,Iron - Gold,Male,Top,"Warwick, Nasus, Mundo, Yorick",6,https://www.op.gg/summoners/euw/FarekGamer-2005/auth/ca32a8febe29bc2f10f1071ab788bbbe,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,2,1,3,4,5,6,7,No Response
2023-12-07 13:51:15,2023-12-07 13:59:08,100,472,TRUE,2023-12-07 13:59:08,R_3CUfOVaZ7IH390X,anonymous,EN,Platinum - Diamond,Prefer not to say,Support,"Nami, Renata, Akshan",8+ ,Not Provided,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,"Fix Client, Propper Custom Games",1,3,4,7,6,5,2,I just dont like being insta killed by assassins
2023-12-07 13:56:15,2023-12-07 13:59:42,100,207,TRUE,2023-12-07 13:59:43,R_3I9ItvexWZ4O54f,anonymous,EN,Platinum - Diamond,Male,Bot,"Kiting Carries / Mobility Carries (Vayne, Lucian, Caitlyn, Ashe)",Season 4,Not Provided,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Make ADCs less dependant on LITERALLY EVERYONE,3,2,1,6,7,4,5,No Response
2023-12-07 13:57:55,2023-12-07 14:00:58,100,183,TRUE,2023-12-07 14:00:59,R_1l3STGoGiZ6jVXQ,anonymous,EN,Masters+,Male,Bot,"Varus, Vayne, Miss Fortune",10 ,frilla#euw,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,"Bring back snowballing, the bounty system has led to snowballing becoming hard. The game is way to much about making 0 mistakes at all, which takes a lot of effort.",1,3,5,4,2,6,7,No Response
2023-12-07 13:48:15,2023-12-07 14:01:32,100,797,TRUE,2023-12-07 14:01:32,R_0GLxo3veYB1QQk9,anonymous,EN,Iron - Gold,Male,Jungle,"Shaco, Sejuani, Ekko, Elise",On and off about 10+  total,https://www.op.gg/summoners/euw/Karura-42069,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,I would like the old shaco back.,7,4,5,2,1,6,3,No Response
2023-12-07 13:57:57,2023-12-07 14:03:06,100,309,TRUE,2023-12-07 14:03:07,R_3qsu9a7eoIY1db4,anonymous,EN,Platinum - Diamond,Male,Mid,Pantheon,4 ,Not Provided,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,2,3,1,4,5,6,7,No Response
2023-12-07 14:01:38,2023-12-07 14:04:48,100,189,TRUE,2023-12-07 14:04:48,R_VRqNUyDo2wXzdG9,anonymous,EN,Iron - Gold,Male,Support,Rakan Lulu Nami Braum Rek'Sai,9 ,Not Provided,Strongly Disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Stop catering the game to braindead shitskins.,1,2,3,4,5,7,6,No Response
2023-12-07 13:53:01,2023-12-07 14:05:55,100,774,TRUE,2023-12-07 14:05:57,R_2xxFOTNGUTLc3xu,anonymous,EN,Iron - Gold,Male,Support,"Pantheon, Cassiopeia, Lulu, Blitzkrank, Leona, Rammus, Garen, Vel'koz, Rakan, Alistair, Ivern, Karma, Kayle, Nautilus, Ornn, Rell, Ryze, Senna,Shyvana, Singed, Swain, Tahm Kench, Threshold, Viego, Zyra",4 ,Swaffy#9666,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly agree,"I would make a better client, meaning one that doesn't bug, that has a normal matchmaking and permaban for trollers; a client that is fast and reliable even after the new patches get released",2,1,3,4,5,6,7,"Reworking champions: old ones that didn't age well like Skarner or Cho'Gath, and newer ones with badly design kits like K'sante"
2023-12-07 14:06:22,2023-12-07 14:14:29,100,487,TRUE,2023-12-07 14:14:30,R_spAQ8AXGoPygdW1,anonymous,EN,Platinum - Diamond,Male,Mid,"Fizz, Vel'koz, Xerath, Kennen, Vi, Katarina, Anivia",11 ,https://www.op.gg/summoners/br/Brox%20007-BR1,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat agree,"I make better tutorials for beginners and intermediate players. Also, I'd buff Vel'koz :P",5,6,7,2,4,3,1,-
2023-12-07 14:20:13,2023-12-07 14:24:59,100,285,TRUE,2023-12-07 14:24:59,R_1Luvza7piMdSubH,anonymous,EN,Iron - Gold,Female,Support,"Zoe,Sona,Lulu,Vex,Neeko,Nami and about 10 more",5 ,Not Provided,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,"Custom maps, Custom announcers, perma bans for toxic people, better griefing detection, better communication of news, better skins",4,3,2,5,6,7,1,No Response
2023-12-07 14:09:55,2023-12-07 14:26:25,100,989,TRUE,2023-12-07 14:26:25,R_XRQk0CSkWizShXP,anonymous,EN,Iron - Gold,Male,Jungle,"Master Yi, Udyr",3 L1,L1NGERER,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"I would be able to view character abilities in loading screen and in game to more easily learn champions. I would have better training options to fight with and against champions and specific items. I would have more comprehensive stat and item breakdowns in and out of game. I would have more information regarding all aspects of the game, for example I cannot find any information on how much xp or gold minions or monsters or champ kills are worth as a laner or jungler. I would fix the game client. I would add more game types, especially quicker game types like nexus (even thought it had its issues it was an easy stress free way to play the game and test champions in my role)",2,4,1,3,7,6,5,Available information about all aspects of them game 
2023-12-07 14:24:43,2023-12-07 14:26:58,100,135,TRUE,2023-12-07 14:26:58,R_2cvYxN2o8eOrMRt,anonymous,EN,Platinum - Diamond,Male,Top,jax ksante aphelios,4 ,Not Provided,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,delete yone,2,3,5,4,1,7,6,No Response
2023-12-07 14:23:48,2023-12-07 14:32:36,100,528,TRUE,2023-12-07 14:32:37,R_1P0gwWLsx6o48YL,anonymous,EN,Platinum - Diamond,Male,Top,Irelia,7 ,Nspiring,Strongly agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Not sure if this is what you're looking for, but I would bring back Co-op modes like Odyssey as rotating game modes to foster the casual player base and serve as an entryway for new players to try the game mechanics",6,5,7,1,2,4,3,No Response
2023-12-07 14:35:16,2023-12-07 14:42:55,100,458,TRUE,2023-12-07 14:42:55,R_3Hqo7bX8qyhuLC4,anonymous,EN,Platinum - Diamond,Male,Bot,"kaisa, ezreal, xayah, vayne",since season 3/4,https://www.op.gg/summoners/euw/psykotisk-HEHE,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,change items,1,2,3,4,5,6,7,No Response
2023-12-07 14:32:35,2023-12-07 14:43:29,100,653,TRUE,2023-12-07 14:43:29,R_DugKDZTiNwuB5D3,anonymous,EN,Masters+,Prefer not to say,Jungle,"Briar, Shaco, Kayn",Too long. Since season 3,Not Provided,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"Revert item changes. Bring back old Swain. Bring back duo q in high elo ranked. Add voice coms to league, players can opt in or out. Make rewards for playing the game feel more meaningful.",1,5,2,4,3,6,7,Revert the stupid death timer change. Not being able to punish players for making mistakes/outplaying them early is dumb.
2023-12-07 14:36:48,2023-12-07 14:45:10,100,502,TRUE,2023-12-07 14:45:10,R_2rIaa8yiXdvMkED,anonymous,EN,Iron - Gold,Other,Mid,"Malzahar, veigar, heimerdinger. Pre-rework malzahar was the best, followed by pre-rework heimerdinger and pre-rework karma (yes I'm old)",Pre-season 1 or season 1.,Not Provided,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,1: Make new champions not be overpowered on release every. god. damn. time. 2: Remove invulnerability from assassins and pantheon. Bard ult and zhonia is plenty and comes with a payoff. We dont need panth who can tower dive 1v5 and survive with 100% hp. 3: nerf assassins in general. 4: Make ap scaling higher again (or nerf AD amount that AD champs can obtain). When AD champs could only reach about 50-70% of what AP champs could the scaling was OP but now that AD champs can get more AD than AP champs can get AP it just makes AP feel useless. 5: Stop nerfing orange essence/making rp more expensive/nerfing mythical essence value.,2,1,3,5,7,4,6,Make AP champs that aren't assassins or Kai'sa viable again.
2023-12-07 14:48:13,2023-12-07 14:51:00,100,166,TRUE,2023-12-07 14:51:00,R_1jvOJs3QQUm2cV6,anonymous,EN,Platinum - Diamond,Male,Bot,Jinx,13,Not Provided,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Remove Herald, Nerf Dragons, Nerf Baron Minion Buff, Revert Runes Reforged, Revert ADC prior to 8.11",3,4,2,1,7,6,5,No Response
2023-12-07 14:48:19,2023-12-07 14:51:58,100,219,TRUE,2023-12-07 14:51:58,R_1GO155nskiMZiKF,anonymous,EN,Iron - Gold,Male,Bot,"kaiâ€™sa, ezreal, jhin",4 ,Not Provided,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,make less 1v9 champs for example twitch gets ahead from roaming and can 1v5 our team even though weâ€™re ahead,1,2,3,4,5,6,7,No Response
2023-12-07 15:00:25,2023-12-07 15:08:33,100,487,TRUE,2023-12-07 15:08:33,R_3O0yEDcIHBa2tty,anonymous,EN,Iron - Gold,Male,Support,"Thresh, Nautilus, Nami",Since Season 3,CaptainLameO,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Reduce mobility creep. (Not every champion needs a dash),1,2,3,4,6,5,7,No Response
2023-12-07 15:09:12,2023-12-07 15:12:03,100,171,TRUE,2023-12-07 15:12:04,R_2DUDKNmrUvn8qJd,anonymous,EN,Platinum - Diamond,Male,Jungle,Viego,End of season 2,Not Provided,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Ban smurfs/ smurf accounts,1,2,3,5,7,4,6,No Response
2023-12-07 15:05:02,2023-12-07 15:12:27,100,445,TRUE,2023-12-07 15:12:27,R_1EglHdYbH6GR1JQ,anonymous,EN,Iron - Gold,Male,Jungle,Ziggs nautilus elise,12 ,Firefoyx,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly Disagree,Make bigger changes with less frequent patches,3,1,2,4,5,7,6,Change rank back to elo system. 
2023-12-07 15:15:02,2023-12-07 15:19:12,100,250,TRUE,2023-12-07 15:19:13,R_01bFJdXznvtlrmV,anonymous,EN,Platinum - Diamond,Male,Support,"Janna, Taric, Thresh, Rengar, Qiyana, Ivern",Season 5,https://www.op.gg/summoners/euw/Shiny-PTXD,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,"Punish toxicity in the community - If you AFK a ranked after flaming, 2 week ban, If you AFK multiple times, 2 week ban - Bans should be tied to hardware/IP rather than accounts, it's too easy to just make a new account",2,3,4,1,6,5,7,No Response
2023-12-07 15:17:39,2023-12-07 15:19:58,100,139,TRUE,2023-12-07 15:19:59,R_2qehgxv7XGG2xvO,anonymous,EN,Platinum - Diamond,Male,Mid,Talon,5 ,Wraith #Shade,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Directly monitored diamond+ games,1,2,3,4,5,6,7,No Response
2023-12-07 15:22:49,2023-12-07 15:26:14,100,204,TRUE,2023-12-07 15:26:14,R_2vf6MAgxH0ukx99,anonymous,EN,Platinum - Diamond,Male,Support,"Nautilus, rakan, rell, soraka, lulu",2 ,Voamean#NA1,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,4,5,7,2,6,3,1,No Response
2023-12-07 15:24:24,2023-12-07 15:27:29,100,184,TRUE,2023-12-07 15:27:30,R_1KfKPc4yOhmN7ew,anonymous,EN,Platinum - Diamond,Male,Bot,All of them.,Since season 2.,Not Provided,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Remove jungle pets.,4,3,2,5,1,7,6,No Response
