StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage, , ,Q3,Q4,Veterancy,Player Stats ,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Open Changes ,Balance Priority _1,Balance Priority _2,Balance Priority _3,Balance Priority _4,Balance Priority _5,Balance Priority _6,Balance Priority _7,Q11
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Rank,Gender,Main Role,Main Champs,(Optional) How Long Have You Been Playing The Game?,Player Stats,Please Evaluate the Following Statements: - I Have fun when I play this game,Please Evaluate the Following Statements: - I feel that my actions as a player directly impact the outcome of the game,Please Evaluate the Following Statements: - I pick the Champions I play because they are strong,Please Evaluate the Following Statements: - I pick the champions I play based on their strength,Please Evaluate the Following Statements: - I am satisfied with the decisions made by the Riot Balance Team,Please Evaluate the Following Statements: - I think the balance team does a good job communicating the reasons behind their decisions,Please Evaluate the Following Statements: - I get frustrated when I play the game in its current state,Please Evaluate the Following Statements: - I believe my teammates actions and decisions have more impact than my own,Please Evaluate the Following Statements: - I think every champion have viability in their main role,Please Evaluate the Following Statements: - I believe the game in the past was more fun,Please Evaluate the Following Statements: - The game changes often enough to stay interesting,"If you could make any direct change to the game right now what would it be? (Responses can be broad ""I'd change the entire jungle role"" or specific ""I would change Akali's e cooldown"")","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Increasing or Reducing a Given Champions Damage (%AD/AP, Base Numbers, CD on key spells etc.)",Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - A Given Champions Durability/Survivability Tools (Resistance/HP CD on spells),"Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - A Given Champions Utility/ability to help their team (Accessibility of CC, Slows, Peel, CD on Spells)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Team centric Neutral Objectives (Rift Herald, Baron, Dragons and Dragon Soul)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Map changes and adjustments (Terrain, Map Size, Gank Paths and accessibility)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Neutral monster changes (Jungle camp timers, clear time, durability damage)","Please Rank The Following Options Based On What You Think The Balance Team Should Prioritize. With 1 being the Highest Priority and 7 Being the Lowest Priority - Minion and Tower Changes (Damage, Speed, Timings, Plating, Gold Value)","If you had a different change in mind, please list it."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_11""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID11_TEXT""}"
2023-12-07 13:48:20,2023-12-07 13:50:45,100,144,TRUE,2023-12-07 13:50:45,R_3subBtC5g7c4Wxd,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,Shen,3 years,,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,I would force every player to uninstall the game forever ,2,1,4,3,5,6,7,
2023-12-07 13:47:48,2023-12-07 13:51:22,100,213,TRUE,2023-12-07 13:51:23,R_1q51xpgFhkylz0o,anonymous,EN,Platinum - Diamond,,Top,Taric,Season 2,,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Nerf tank shredding tools, armor pen and %hp damage in abilities",1,2,4,6,7,5,3,Nerf/Fix bounties to be more consistent and include gold from plates.
2023-12-07 13:48:32,2023-12-07 13:51:53,100,201,TRUE,2023-12-07 13:51:54,R_3kokwpJdjKzn4FZ,anonymous,EN,Platinum - Diamond,Male,Top,Sion,Since season 6,Nuki____,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat agree,"Reduce the amount of dashes, cc and overall overloaded kit they release each month with a new champion",3,2,1,7,4,5,6,Increasing healing reduction just like it was in the past
2023-12-07 13:47:19,2023-12-07 13:51:56,100,276,TRUE,2023-12-07 13:51:57,R_2DN9Qkb3Wn7LuiC,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,asassains,4 Years,Lolxt06,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,2,4,1,5,3,6,7,Nerf riven and hwei and not make new champs broken / not that broken
2023-12-07 13:46:53,2023-12-07 13:52:05,100,312,TRUE,2023-12-07 13:52:05,R_RJfCcty4hT40eI1,anonymous,EN,Platinum - Diamond,Male,Bot,"Draven, Ezrael, Ashe, Twitch",8 years,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,I would like fights and lane phases to last longer (meaning a longer laning phase where laners face each other). More neutral objectives like in Hots. A champion rotation like in  MTGArena (imo there's too many champions in the game to balance effectively. I'd rather have a certain set of champions (~50 maybe?) available at a time).,2,6,5,3,1,7,4,
2023-12-07 13:48:49,2023-12-07 13:52:08,100,199,TRUE,2023-12-07 13:52:09,R_3OQ6BTj2W7HfWQF,anonymous,EN,Platinum - Diamond,Male,Bot,Twitch,6 months,,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"I would give everyone 2 bans instead of one, there is too many bullshit champions introduced in the recent years.",1,2,3,4,6,5,7,Lower twitch aa windup time :)
2023-12-07 13:48:46,2023-12-07 13:53:15,100,269,TRUE,2023-12-07 13:53:16,R_3OoJcppJsXnydPS,anonymous,EN,Platinum - Diamond,Male,Jungle,"Rengar, Evelynn",10 years,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,"Bring back the potential to carry, reduce bounties, FIXING THE CLIENT",1,2,6,4,5,3,7,"Items, balancing the items better"
2023-12-07 13:49:29,2023-12-07 13:53:44,100,254,TRUE,2023-12-07 13:53:44,R_2349OXAOiKVefo5,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,"Pyke, kled, urgot, poppy, ,ivern, jhin, senna, ",since season 5,https://www.op.gg/summoners/euw/Blomster%20Koro-EUW,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,"I have no clue, not a game designer nor do i know how to balance a game",7,2,1,3,4,5,6,
2023-12-07 13:48:46,2023-12-07 13:55:37,100,410,TRUE,2023-12-07 13:55:38,R_2cA5la4Eu9hceZB,anonymous,EN,Iron - Gold,Male,Bot,"Lucian, Zeri, Vayne, Sivir, Ziggs, Ryze, Orianna, Mordekaiser",14 years (since release),https://www.op.gg/summoners/euw/Aeshen-EUW,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,I would change Zilean passive,4,1,2,5,3,7,6,
2023-12-07 13:47:57,2023-12-07 13:56:03,100,486,TRUE,2023-12-07 13:56:04,R_W0qy8lMw35kg8Df,anonymous,EN,Masters+,Female,Support,Sona,Since 2013-01-29,https://www.op.gg/summoners/euw/juwli-EUW,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,"buff sona's ap ratios to reward high-risk high-reward playstyle to boost skill expression, nerf other stuff so she doesn't become broken.",,,,,,,,Remove shutdowns and balance the game accordingly
2023-12-07 13:47:10,2023-12-07 13:56:12,100,542,TRUE,2023-12-07 13:56:13,R_3e9OvOCj2UKCRb5,anonymous,EN,Iron - Gold,Male,Top,"Warwick, Nasus, Mundo, Yorick","Started 2018, actively playing since 2022",https://www.op.gg/summoners/euw/FarekGamer-2005/auth/ca32a8febe29bc2f10f1071ab788bbbe,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,2,1,3,4,5,6,7,
2023-12-07 13:51:15,2023-12-07 13:59:08,100,472,TRUE,2023-12-07 13:59:08,R_3CUfOVaZ7IH390X,anonymous,EN,Platinum - Diamond,Prefer not to say,Support,"Nami, Renata, Akshan",8+ years,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,"Fix Client, Propper Custom Games",1,3,4,7,6,5,2,I just dont like being insta killed by assassins
2023-12-07 13:49:04,2023-12-07 13:59:35,100,630,TRUE,2023-12-07 13:59:35,R_12PfL8uww5O9728,anonymous,EN,Iron - Gold,Male,Top,"Riven, garen, natilus, oorn, yone, soraka (mid), akali and cait.",1 or 2 years i think,https://www.op.gg/summoners/euw/Aruneeen-EUW    i had a 70% win rate with soraka mid untilli reached gold and people were running it down when they saw my soraka mid pick so i have to readapt with a new champ and my winrate has gone down a bit,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,i want the playerbase to have a better mental and self reflect more...   yea there are bad t-mates but you just have to deal with it and continue playing instead of complaining on forms.  REMEMBER you are not the only one getting the bad t-mates and the pro player has proly gone through the same thing as they did.,,,,,,,,not drom what i know but prob nerf the hull breaker becasue it makes split pushing way to strong and with baron buff its really hard to defend 
2023-12-07 13:56:15,2023-12-07 13:59:42,100,207,TRUE,2023-12-07 13:59:43,R_3I9ItvexWZ4O54f,anonymous,EN,Platinum - Diamond,Male,Bot,"Kiting Carries / Mobility Carries (Vayne, Lucian, Caitlyn, Ashe)",Season 4,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Make ADCs less dependant on LITERALLY EVERYONE,3,2,1,6,7,4,5,
2023-12-07 13:57:55,2023-12-07 14:00:58,100,183,TRUE,2023-12-07 14:00:59,R_1l3STGoGiZ6jVXQ,anonymous,EN,Masters+,Male,Bot,"Varus, Vayne, Miss Fortune",10 years,frilla#euw,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,"Bring back snowballing, the bounty system has led to snowballing becoming hard. The game is way to much about making 0 mistakes at all, which takes a lot of effort.",1,3,5,4,2,6,7,
2023-12-07 13:48:15,2023-12-07 14:01:32,100,797,TRUE,2023-12-07 14:01:32,R_0GLxo3veYB1QQk9,anonymous,EN,Iron - Gold,Male,Jungle,"Shaco, Sejuani, Ekko, Elise",On and off about 10+ years total,https://www.op.gg/summoners/euw/Karura-42069,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,I would like the old shaco back.,7,4,5,2,1,6,3,
2023-12-07 13:57:57,2023-12-07 14:03:06,100,309,TRUE,2023-12-07 14:03:07,R_3qsu9a7eoIY1db4,anonymous,EN,Platinum - Diamond,Male,Mid,Pantheon,4 years,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,2,3,1,4,5,6,7,
2023-12-07 14:01:38,2023-12-07 14:04:48,100,189,TRUE,2023-12-07 14:04:48,R_VRqNUyDo2wXzdG9,anonymous,EN,Iron - Gold,Male,Support,Rakan Lulu Nami Braum Rek'Sai,9 years,,Strongly Disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Stop catering the game to braindead shitskins.,1,2,3,4,5,7,6,
2023-12-07 13:53:01,2023-12-07 14:05:55,100,774,TRUE,2023-12-07 14:05:57,R_2xxFOTNGUTLc3xu,anonymous,EN,Iron - Gold,Male,Support,"Pantheon, Cassiopeia, Lulu, Blitzkrank, Leona, Rammus, Garen, Vel'koz, Rakan, Alistair, Ivern, Karma, Kayle, Nautilus, Ornn, Rell, Ryze, Senna,Shyvana, Singed, Swain, Tahm Kench, Threshold, Viego, Zyra",4 years,Swaffy#9666,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly agree,"I would make a better client, meaning one that doesn't bug, that has a normal matchmaking and permaban for trollers; a client that is fast and reliable even after the new patches get released",2,1,3,4,5,6,7,"Reworking champions: old ones that didn't age well like Skarner or Cho'Gath, and newer ones with badly design kits like K'sante"
2023-12-07 14:05:44,2023-12-07 14:08:36,100,171,TRUE,2023-12-07 14:08:36,R_8pqEbGh2Tm253mF,anonymous,EN,Iron - Gold,Male,Bot,"Zoe, Kayle, Jinx, Ashe, Katarina",5 years,,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,"Give ADCs more SoloQ agency, less pro agency",,,,,,,,
2023-12-07 14:06:22,2023-12-07 14:14:29,100,487,TRUE,2023-12-07 14:14:30,R_spAQ8AXGoPygdW1,anonymous,EN,Platinum - Diamond,Male,Mid,"Fizz, Vel'koz, Xerath, Kennen, Vi, Katarina, Anivia",11 Years,https://www.op.gg/summoners/br/Brox%20007-BR1,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat agree,"I make better tutorials for beginners and intermediate players. Also, I'd buff Vel'koz :P",5,6,7,2,4,3,1,-
2023-12-07 14:16:00,2023-12-07 14:21:26,100,325,TRUE,2023-12-07 14:21:27,R_PA57e6NBFQJzSzT,anonymous,EN,Platinum - Diamond,Male,Support,Senna Xerath Swain Janna Thresh Zyra Zilean,10-11,Somoka#EUW,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"Bring back all the game modes that have ever existed. 3v3 (first map), doom bots, 2v2... And turbo nerf jungle in SR.",,,,,,,,This question does not make too much sense to me so I'll leave it as it is. The answer would depend on which champion/role you are willing to balance.
2023-12-07 14:20:13,2023-12-07 14:24:59,100,285,TRUE,2023-12-07 14:24:59,R_1Luvza7piMdSubH,anonymous,EN,Iron - Gold,Female,Support,"Zoe,Sona,Lulu,Vex,Neeko,Nami and about 10 more",5 years,,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,"Custom maps, Custom announcers, perma bans for toxic people, better griefing detection, better communication of news, better skins",4,3,2,5,6,7,1,
2023-12-07 14:09:55,2023-12-07 14:26:25,100,989,TRUE,2023-12-07 14:26:25,R_XRQk0CSkWizShXP,anonymous,EN,Iron - Gold,Male,Jungle,"Master Yi, Udyr",3 yearsL1,L1NGERER,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"I would be able to view character abilities in loading screen and in game to more easily learn champions. I would have better training options to fight with and against champions and specific items. I would have more comprehensive stat and item breakdowns in and out of game. I would have more information regarding all aspects of the game, for example I cannot find any information on how much xp or gold minions or monsters or champ kills are worth as a laner or jungler. I would fix the game client. I would add more game types, especially quicker game types like nexus (even thought it had its issues it was an easy stress free way to play the game and test champions in my role)",2,4,1,3,7,6,5,Available information about all aspects of them game 
2023-12-07 14:24:43,2023-12-07 14:26:58,100,135,TRUE,2023-12-07 14:26:58,R_2cvYxN2o8eOrMRt,anonymous,EN,Platinum - Diamond,Male,Top,jax ksante aphelios,4 years,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,delete yone,2,3,5,4,1,7,6,
2023-12-07 14:23:48,2023-12-07 14:32:36,100,528,TRUE,2023-12-07 14:32:37,R_1P0gwWLsx6o48YL,anonymous,EN,Platinum - Diamond,Male,Top,Irelia,7 years,Nspiring,Strongly agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Not sure if this is what you're looking for, but I would bring back Co-op modes like Odyssey as rotating game modes to foster the casual player base and serve as an entryway for new players to try the game mechanics",6,5,7,1,2,4,3,
2023-12-07 14:35:16,2023-12-07 14:42:55,100,458,TRUE,2023-12-07 14:42:55,R_3Hqo7bX8qyhuLC4,anonymous,EN,Platinum - Diamond,Male,Bot,"kaisa, ezreal, xayah, vayne",since season 3/4,https://www.op.gg/summoners/euw/psykotisk-HEHE,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,change items,1,2,3,4,5,6,7,
2023-12-07 14:32:35,2023-12-07 14:43:29,100,653,TRUE,2023-12-07 14:43:29,R_DugKDZTiNwuB5D3,anonymous,EN,Masters+,Prefer not to say,Jungle,"Briar, Shaco, Kayn",Too long. Since season 3,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"Revert item changes. Bring back old Swain. Bring back duo q in high elo ranked. Add voice coms to league, players can opt in or out. Make rewards for playing the game feel more meaningful.",1,5,2,4,3,6,7,Revert the stupid death timer change. Not being able to punish players for making mistakes/outplaying them early is dumb.
2023-12-07 14:36:48,2023-12-07 14:45:10,100,502,TRUE,2023-12-07 14:45:10,R_2rIaa8yiXdvMkED,anonymous,EN,Iron - Gold,Other,Mid,"Malzahar, veigar, heimerdinger. Pre-rework malzahar was the best, followed by pre-rework heimerdinger and pre-rework karma (yes I'm old)",Pre-season 1 or season 1.,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,1: Make new champions not be overpowered on release every. god. damn. time. 2: Remove invulnerability from assassins and pantheon. Bard ult and zhonia is plenty and comes with a payoff. We dont need panth who can tower dive 1v5 and survive with 100% hp. 3: nerf assassins in general. 4: Make ap scaling higher again (or nerf AD amount that AD champs can obtain). When AD champs could only reach about 50-70% of what AP champs could the scaling was OP but now that AD champs can get more AD than AP champs can get AP it just makes AP feel useless. 5: Stop nerfing orange essence/making rp more expensive/nerfing mythical essence value.,2,1,3,5,7,4,6,Make AP champs that aren't assassins or Kai'sa viable again.
2023-12-07 14:48:13,2023-12-07 14:51:00,100,166,TRUE,2023-12-07 14:51:00,R_1jvOJs3QQUm2cV6,anonymous,EN,Platinum - Diamond,Male,Bot,Jinx,Since 2011,,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Remove Herald, Nerf Dragons, Nerf Baron Minion Buff, Revert Runes Reforged, Revert ADC prior to 8.11",3,4,2,1,7,6,5,
2023-12-07 14:48:19,2023-12-07 14:51:58,100,219,TRUE,2023-12-07 14:51:58,R_1GO155nskiMZiKF,anonymous,EN,Iron - Gold,Male,Bot,"kai’sa, ezreal, jhin",4 years,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,make less 1v9 champs for example twitch gets ahead from roaming and can 1v5 our team even though we’re ahead,1,2,3,4,5,6,7,
2023-12-07 15:00:25,2023-12-07 15:08:33,100,487,TRUE,2023-12-07 15:08:33,R_3O0yEDcIHBa2tty,anonymous,EN,Iron - Gold,Male,Support,"Thresh, Nautilus, Nami",Since Season 3,CaptainLameO,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Reduce mobility creep. (Not every champion needs a dash),1,2,3,4,6,5,7,
2023-12-07 15:09:12,2023-12-07 15:12:03,100,171,TRUE,2023-12-07 15:12:04,R_2DUDKNmrUvn8qJd,anonymous,EN,Platinum - Diamond,Male,Jungle,Viego,End of season 2,,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Ban smurfs/ smurf accounts,1,2,3,5,7,4,6,
